time,seconds_elapsed,magneticBearing
1731517692818218500,43.07121850585938,264.75469651238296
1731517692828265500,43.08126538085938,263.9409173878637
1731517692838312700,43.09131274414062,263.2894884997231
1731517692848360400,43.1013603515625,262.5135985424806
1731517692858407400,43.11140747070313,261.6867562473611
1731517692868454400,43.12145434570313,260.77855411765364
1731517692878501400,43.13150146484375,260.2815110442214
1731517692888549600,43.14154956054688,260.1247890940301
1731517692898596600,43.1515966796875,260.09796220773194
1731517692908643800,43.16164379882812,260.1714485387047
1731517692918691800,43.17169189453125,259.82702588799066
1731517692928738800,43.18173876953125,259.92077862718713
1731517692938785800,43.19178588867187,259.87188408492705
1731517692948834000,43.201833984375,259.8812487136388
1731517692958881000,43.21188110351562,259.6494071248328
1731517692968927700,43.221927734375,259.8392295792971
1731517692978974700,43.231974609375,259.42884525460005
1731517692989023000,43.24202294921875,259.63761347414123
1731517692999070000,43.25207006835937,259.55681850251057
1731517693009117000,43.26211694335937,259.67586735615
1731517693019165000,43.2721650390625,259.9783608898975
1731517693029211600,43.28221166992188,259.4746830900483
1731517693039259000,43.2922587890625,259.03068614571447
1731517693049305900,43.302305908203124,258.6901628143488
1731517693059353900,43.31235375976563,258.79682319007105
1731517693069400800,43.32240087890625,257.9255023338036
1731517693079447800,43.33244775390625,257.6270474676847
1731517693089495800,43.34249584960938,257.21279553285433
1731517693099542800,43.35254272460938,257.09424697248613
1731517693109589800,43.36258984375,256.3527016828875
1731517693119636700,43.37263671875,256.3258392555705
1731517693129685000,43.38268505859375,256.354229344043
1731517693139732000,43.39273193359375,256.3971260006248
1731517693149779000,43.402779052734374,256.6209901861505
1731517693159826700,43.41282666015625,257.015740788001
1731517693169874000,43.4228740234375,257.09483434742845
1731517693179921000,43.4329208984375,256.7603398607628
1731517693189969000,43.44296899414063,256.6158117453028
1731517693200016000,43.45301586914063,256.7134391433591
1731517693210062800,43.46306274414062,256.52535161426965
1731517693220109800,43.47310986328125,256.77972887867224
1731517693230157800,43.48315771484375,256.96733977079816
1731517693240204800,43.49320483398437,257.0511561864905
1731517693250251800,43.50325170898437,257.132296635069
1731517693260300000,43.51330004882813,257.10658657145564
1731517693270346800,43.5233466796875,257.184015716481
1731517693280393700,43.53339379882812,257.43604760415974
1731517693290440700,43.54344067382812,258.2448498776783
1731517693300489000,43.55348901367187,258.7278637141426
1731517693310536000,43.56353588867187,259.2118583629521
1731517693320583000,43.5735830078125,259.86492725847495
1731517693330630700,43.58363061523438,260.6623746741092
1731517693340677600,43.593677734375,260.16889094494326
1731517693350724900,43.60372485351562,259.2310267457409
1731517693360771800,43.61377172851562,258.434057371354
1731517693370819800,43.62381982421875,257.39798729574864
1731517693380866800,43.63386669921875,256.5123943037327
1731517693390914000,43.6439140625,256.55493959526194
1731517693400961800,43.6539619140625,256.6829216556204
1731517693411008800,43.6640087890625,257.75892057404167
1731517693421055700,43.6740556640625,259.54473410742935
1731517693431102700,43.68410278320312,260.7805257888741
1731517693441151000,43.69415087890625,261.92333045358674
1731517693451198000,43.70419799804687,262.46213640950145
1731517693461245000,43.71424487304687,262.46356866579595
1731517693471293000,43.72429296875,261.6055118461363
1731517693481340000,43.73433984375,261.05547348434965
1731517693491387000,43.74438696289062,261.3654632959431
1731517693501433900,43.75443383789062,262.2165030194383
1731517693511481900,43.76448193359375,262.84461587524885
1731517693521528800,43.77452880859375,263.7505164345383
1731517693531575800,43.78457592773437,263.826239124871
1731517693541623800,43.79462377929688,263.77917550071453
1731517693551670800,43.8046708984375,263.55136262463583
1731517693561717800,43.8147177734375,263.0711329973461
1731517693571766000,43.82476611328125,262.87833741827455
1731517693581812700,43.83481274414063,262.2081011047411
1731517693591859700,43.84485961914063,261.66130399696493
1731517693601906700,43.85490673828125,261.81719469708526
1731517693611955000,43.86495483398438,261.69183492751176
1731517693622002000,43.875001953125,262.1042405137831
1731517693632049000,43.885048828125,262.0167760248456
1731517693642096600,43.8950966796875,262.50520448765144
1731517693652143900,43.90514379882813,262.19338922555437
1731517693662190800,43.91519091796875,262.1689978073348
1731517693672237800,43.92523779296875,262.25185829153475
1731517693682285800,43.93528588867188,261.96714096776543
1731517693692332800,43.94533276367188,262.19995056336677
1731517693702380000,43.95538012695312,262.3541560086221
1731517693712427800,43.965427734375,262.91034955283317
1731517693722474800,43.97547485351563,263.10684863325537
1731517693732521700,43.98552172851562,263.23858217077026
1731517693742569000,43.99556884765625,263.2695081814474
1731517693752617000,44.00561694335938,263.65617298314885
1731517693762664000,44.01566381835938,263.6029739757307
1731517693772711000,44.0257109375,263.8617389055988
1731517693782759000,44.03575903320313,264.18749576627675
1731517693792806000,44.04580590820313,264.520784089358
1731517693802852900,44.05585278320312,264.96417538147887
1731517693812899800,44.06589990234375,265.3415820055598
1731517693822947800,44.07594775390625,265.9877572419492
1731517693832994800,44.08599487304687,266.2319919379912
1731517693843041800,44.09604174804687,266.46481321676765
1731517693853089800,44.10608984375,265.61946033174917
1731517693863136800,44.11613671875,265.2047647100268
1731517693873184000,44.12618408203125,264.4935855119663
1731517693883231000,44.13623095703125,263.70064911174785
1731517693893278700,44.14627880859375,263.18454711476886
1731517693903325700,44.15632568359375,262.9870814573273
1731517693913372700,44.16637255859375,263.20820213178604
