time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1731517704999791600,55.25279150390625,200.13758600503206,1.2342531959398637,27.46592231599252,40.096094724728424,232.54758585244417,252.74366037335977,4.731573449930181,3.3818263883151425,-88.22978057955679,1.5874696519086242
1731517705999784400,56.252784423828125,199.94004810974002,0.9001084705139706,25.68206169413146,40.09609304343122,232.35004795715213,255.2199464405906,4.730819188052022,3.3828814408352597,-88.22979109152486,1.0899758833744946
1731517706999776800,57.25277685546875,200.10846250224859,1.2276125465840018,26.927476541443195,40.09608412369626,232.5184623496607,249.09746875478032,4.730902541381306,3.382764871631006,-88.22981275382276,1.6442586983623406
1731517707999769000,58.25276904296875,199.81698182970285,0.7424116735671834,28.4533794466127,40.09608071931742,232.22698167711496,246.74389961567377,4.729619364897493,3.3845587151023793,-88.22982223634479,1.0615321724178677
1731517708999761700,59.25276171875,199.8931928370148,1.2165028016322557,28.217821381673247,40.09607187375243,232.3031926844269,243.302059141419,4.730576602588572,3.3832206608245934,-88.2298430036683,1.6303872445927983
1731517709999755000,60.252755126953126,200.13170139677823,0.6007377983584057,28.268938358540883,40.09606811775808,232.54170124419034,243.75281890996987,4.729769788334144,3.384348501876014,-88.22985324231416,1.053989970777742
1731517710999747600,61.25274755859375,200.1515322336927,1.214591180786029,28.918077146975822,40.096059826248634,232.56153208110482,243.20743951493552,4.730606510685653,3.383178841540505,-88.22987348724327,1.580245474112817
1731517711999740700,62.25274072265625,200.37342563737184,0.7095993942090857,29.122522480550707,40.096053543320906,232.78342548478395,237.21865746296874,4.7293093517180065,3.3849918889919732,-88.2298826978399,1.083128107926377
1731517712999734000,63.25273413085937,200.4018834810704,1.184834524387164,28.245739868264845,40.09604190549324,232.8118833284825,235.6322387439359,4.731901991469673,3.3813666727987637,-88.22990304849158,1.7093953269966924
1731517713999726800,64.25272680664062,200.34038327354938,0.7842967116676725,30.365041021808057,40.09603766729607,232.7503831209615,235.31933073361972,4.729996778924001,3.3840312504699788,-88.22991142344726,1.0891163671306172
1731517714999720200,65.25272021484375,200.48647579643875,1.1686800113082394,29.346317115914175,40.09602472491125,232.89647564385086,231.73030556391987,4.733475011128205,3.3791642978425407,-88.22992959017479,1.6692270482551068
1731517715999713500,66.25271362304687,200.177928683348,0.82360820650711,31.774909704128483,40.09601967671684,232.5879285307601,230.71132984456767,4.73017689057617,3.383779487000888,-88.22993820072685,1.123971537857007
1731517716999706600,67.25270654296875,199.98809005133808,1.1573995501334087,29.767045885853836,40.09600699601129,232.3980898987502,228.4968242783293,4.733116198264538,3.3796668602858895,-88.22995467646548,1.6666386935008304
1731517717999700000,68.25269995117188,200.260191032663,0.7277706177935618,32.50703080340192,40.09599799420101,232.6701908800751,218.71144407428105,4.729155865831409,3.3852063200728573,-88.22995950767192,1.1228830188456902
1731517718999693600,69.25269360351562,200.3457901990041,1.1324098364384534,29.390090332035854,40.09598317083197,232.75579004641622,220.57738771812157,4.733210396190561,3.379534935191887,-88.22997728235998,1.749648476567655
1731517719999687700,70.25268774414063,200.58574981428683,0.8707151324837925,34.11863724297634,40.095976073399136,232.99574966169894,219.63587252032954,4.728274532913608,3.3864372095447797,-88.22998247391654,1.187600619421753
1731517720999680500,71.25268041992187,200.59456486720592,1.1251750270906944,29.795890302407493,40.095960824041924,233.00456471461803,218.71033247170877,4.731519501953591,3.3819018666161322,-88.22999664520452,1.7257854186385613
1731517721999674600,72.25267456054688,200.255181113258,0.8395136251847221,35.63436359471672,40.09595457990978,232.6651809606701,214.13977134406977,4.7270898268005785,3.388090731097282,-88.22999941825883,1.1383374561161008
1731517722999668700,73.25266870117187,200.7023129016161,1.118258074677094,29.73221581663133,40.0959381060006,233.1123127490282,214.42497229052094,4.732854205333862,3.380033743003524,-88.23001397985311,1.7257760741313317
1731517723999662800,74.25266284179688,200.53327950183302,0.5731835845529506,30.8956404945429,40.095930822540446,232.94327934924513,210.1728889051007,4.726967645017147,3.388261193554871,-88.23001677452329,1.0590390446589275
1731517724999656200,75.25265625,200.68081598728895,1.1113850240218297,31.263644483265637,40.095914056179566,233.09081583470106,208.85391774788516,4.732606711638061,3.3803802664415152,-88.23002810806813,1.6459695978225253
1731517725999650000,76.25265014648437,200.58798468392342,0.895814866385241,35.957323715424046,40.09590511073521,232.99798453133553,205.79141320958203,4.725575807138107,3.390202106627253,-88.23003264234862,1.2195084517337467
1731517726999643600,77.2526435546875,200.28295240085572,0.47356046421691145,26.744124317703704,40.09589314973835,232.69295224826783,203.8565074798039,4.726329561275615,3.3891512080462114,-88.2300386520412,1.1173663757022707
1731517727999637500,78.25263745117188,200.3092485871166,0.9592446045626322,37.516127467276185,40.09588134757642,232.7192484345287,202.39923773307052,4.725376057616903,3.3904805185828417,-88.23004489845542,1.2319295240895838
1731517728999631400,79.25263134765625,200.17407615855336,0.545259070259956,26.645265774813335,40.09586809459837,232.58407600596547,201.06686103272318,4.727651335780749,3.387307172383298,-88.2300506436751,1.2093530915058315
1731517729999625700,80.25262573242188,200.46637615561485,0.9093552732534471,36.90915586251701,40.095856750384755,232.87637600302696,195.98611457209688,4.726620362783995,3.3887456350255207,-88.23005428118461,1.2162128004726032
1731517730999619600,81.25261962890625,200.41733307298273,0.5361256573244476,25.826357906298657,40.09584232073548,232.82733292039484,195.11467403616027,4.7270465200747696,3.388151152153316,-88.23005883347737,1.2154557040173497
1731517731999613700,82.25261376953125,200.3965726783499,0.8947215987008962,36.7270609632243,40.095830676120265,232.80657252576202,193.44248007829344,4.7253488049552255,3.390518500804421,-88.23006144057668,1.2124344981672772
1731517732999607600,83.25260766601562,200.3208037437871,0.5398885481005421,26.071290782471397,40.09581705759113,232.73080359119922,191.4190866635007,4.726550147253541,3.388843569462356,-88.23006501142754,1.1989913614555192
1731517733999602200,84.25260229492187,200.22537828050554,0.9012844313154605,37.022239762843284,40.095805129480496,232.63537812791765,190.8761966497617,4.725410610386705,3.3904323612238,-88.23006878812554,1.2062977218874875
1731517734999595500,85.25259545898437,200.20973538979888,1.0901485014946322,29.49962957852617,40.09578620612453,232.619735237211,191.85565774583893,4.7322207653919515,3.3809205344672106,-88.23007329857587,1.7401597692523363
1731517735999590100,86.25259008789062,200.60474912263453,0.8840968891389729,36.34513200619518,40.09577832143585,233.01474897004664,187.50390819983852,4.725854701146551,3.389813324718616,-88.23007285028746,1.2128587651416325
1731517736999584800,87.25258471679687,200.36144830100238,0.539745229983359,26.088599028916985,40.095764568165876,232.7714481484145,180.8978307310939,4.727930439665882,3.386917594283867,-88.23007129949858,1.1797383786944313
1731517737999579000,88.25257885742188,200.38160904031247,0.9067874158726018,37.54349319456327,40.09575216920686,232.79160888772458,180.80309998168755,4.727361956267062,3.3877110218003677,-88.23007153347758,1.1827091728027266
1731517738999573200,89.2525732421875,200.3283938439563,1.0874840945090187,28.97966322003307,40.09573218664215,232.7383936913684,181.23189932864867,4.7333754339327525,3.379303779512988,-88.23007264565318,1.7564429146868898
1731517739999567600,90.25256762695312,200.53252138849348,0.7837949548083774,35.600692754128055,40.095724885177475,232.9425212359056,179.99891267296826,4.725451463836853,3.3903754210575228,-88.23007161596387,1.1515725607482046
1731517740999561200,91.25256127929687,200.42203474976122,1.0909405407842452,30.851626173187984,40.095706522680864,232.83203459717333,178.4423754585704,4.732919819438506,3.379941865706423,-88.23006988838026,1.65576078056792
1731517741999556000,92.25255615234374,200.5291540492326,0.6848735225450354,33.863210213758876,40.09569887257246,232.9391538966447,181.80273494817052,4.725723090203658,3.389996800515426,-88.23007052365192,1.1090963489213694
1731517742999550500,93.25255053710937,200.56833070889115,1.0914465078068432,29.94442366016032,40.095678684880525,232.97833055630326,179.48961133783658,4.733104381342103,3.379683409449623,-88.23006939121821,1.7080807716156603
1731517743999544000,94.2525439453125,200.4884291831404,0.8775303695711489,36.93324078227924,40.095671204591945,232.8984290305525,180.02296370523973,4.726730560996703,3.3885919253472556,-88.23007054305049,1.174707828785939
1731517744999538400,95.25253833007812,200.56092013139278,1.0871885510519768,30.95810458526656,40.095652584660584,232.9709199788049,178.8362324226417,4.733162115731688,3.379602553406416,-88.23006995103668,1.6423724665509472
1731517745999532800,96.25253271484375,200.52579326462,0.7001029127959112,34.41596011471406,40.09564490241904,232.93579311203212,179.4617035672064,4.726036554525697,3.3895597823427925,-88.23007095788006,1.0894714994853694
1731517746999527000,97.25252685546874,200.7423769440502,1.0848545141800623,31.437369387175735,40.09562594472406,233.1523767914623,178.11224414030642,4.732667805997267,3.380294731360839,-88.23006935128609,1.6237623960058647
1731517747999521000,98.25252099609375,200.4637011885643,0.7712819797038327,36.7195869240367,40.095618280647,232.8737010359764,179.29758518546575,4.724920947293874,3.3911147244840296,-88.23007046500375,1.0953396347760573
1731517748999515100,99.25251513671876,200.6106020733714,1.0871473549008501,31.494614551585787,40.09560026354105,233.02060192078352,180.69344800239506,4.732201785904718,3.380947099596358,-88.2300710558103,1.6244807791287774
1731517749999510300,100.25251025390625,200.62100494559854,0.8877160654782524,37.410944220780635,40.095591690169925,233.03100479301065,180.0671424927935,4.72558786840249,3.390185294463422,-88.23007042263825,1.185105390251652
1731517750999504100,101.25250415039062,200.5576158007607,1.0853572210855253,29.74714122526054,40.09557186540312,232.9676156481728,179.9919266340933,4.732401881344408,3.3806670149893114,-88.2300707498363,1.7164418816934048
1731517751999498200,102.25249829101563,200.7194212283939,0.8848183360908974,38.08833645582542,40.09556443483511,233.12942107580602,179.10262396029654,4.725669025584913,3.3900721664023874,-88.23007003040108,1.161067951305556
